Tag,Ovid,Caesar1
NOM-INDSTAT_SUBJ-CO,0.0154,0.3262
NOM-SUBST_AP,0.0077,0.0296
NOM-SUBST_OBJ,0.1081,1.0083
NOM-SUBST_OBJ-AP,0.0077,0.1482
NOM-SUBST_OBJ-CO,0.0694,0.9786
NOM-SUBST_PRED,0.0077,0.0
NOM-SUBST_SBJ,0.0772,0.2372
NOM-SUBST_SUBJ-AP,0.0077,0.0593
NOM-SUBST_SUBJ-CO,0.0463,0.8303
PARENTH,0.4169,0.0889
PRED,9.3513,16.073
PRED-DELIB,0.0077,0.0
PRED-HORT,0.0308,0.0
PRED-POTENT,0.0694,0.0
PRED-POTENT_CO,0.0386,0.0
PRED_CO,4.5096,5.5160
V-VOC,0.6640,0.0
V-VOC_AP,0.0540,0.0
V-VOC_CO,0.0386,0.0
V-VOC_OBJ,0.0154,0.0
