Tag,Ovid13,Ovid1
NOM-SUBST_AP,0.0,0.0147
NOM-SUBST_OBJ,0.0923,0.1327
NOM-SUBST_OBJ-AP,0.0,0.0147
NOM-SUBST_OBJ-CO,0.0184,0.1179
NOM-SUBST_PRED,0.0,0.0147
NOM-SUBST_SBJ,0.0,0.1474
NOM-SUBST_SUBJ-AP,0.0,0.0147
NOM-SUBST_SUBJ-CO,0.0,0.0884
PARENTH,0.2401,0.6046
PRED,4.0081,6.0463
PRED-DELIB,0.0184,0.0
PRED-HORT,0.0,0.0589
PRED-POTENT,0.0369,0.0294
PRED-POTENT_CO,0.0738,0.0147
PRED_CO,7.5360,2.5954
V-VOC,0.4987,0.6636
V-VOC_AP,0.0,0.1032
V-VOC_CO,0.0369,0.0442
V-VOC_OBJ,0.0,0.0294
