Relation,Ovid,Vergil
NOM-DS-HORT_OBJ-CO,0.1148,0.0449
NOM-DS-OPT_OBJ,0.0164,0.0337
NOM-DS-OPT_OBJ-CO,0.0410,0.0112
NOM-DS-POTENT,0.0,0.0112
NOM-DS-POTENT_OBJ,0.1066,0.0
NOM-DS-POTENT_OBJ-CO,0.1476,0.0337
NOM-FEARCL_OBJ-AP,0.0082,0.0
NOM-FEARCL_OBJ-CO,0.0164,0.0
NOM-INDQUES_AP,0.0082,0.0
NOM-INDQUES_CO,0.0246,0.0337
NOM-INDQUES_OBJ,0.1640,0.1236
NOM-INDQUES_OBJ-AP,0.0,0.0112
NOM-INDQUES_OBJ-CO,0.1476,0.2585
NOM-INDQUES_PRED-CO,0.0164,0.0
NOM-INDQUES_SBJ,0.0164,0.0112
NOM-INDSTAT,0.0082,0.0
NOM-INDSTAT_CO,0.0082,0.0
NOM-INDSTAT_OBJ,0.4674,0.3147
NOM-INDSTAT_OBJ-AP,0.0082,0.0112
NOM-INDSTAT_OBJ-CO,0.3034,0.4159
NOM-INDSTAT_PRED,0.0,0.0224
NOM-INDSTAT_SBJ,0.0410,0.0224
NOM-INDSTAT_SUBJ-CO,0.0164,0.0224
NOM-SUBST_AP,0.0082,0.0
NOM-SUBST_OBJ,0.1148,0.0112
NOM-SUBST_OBJ-AP,0.0082,0.0
NOM-SUBST_OBJ-CO,0.0738,0.1349
NOM-SUBST_PRED,0.0082,0.0
NOM-SUBST_SBJ,0.0820,0.0112
NOM-SUBST_SUBJ-AP,0.0082,0.0
NOM-SUBST_SUBJ-CO,0.0492,0.0
PARENTH,0.4428,0.1349
PRED,5.1414,3.9797
PRED-DELIB,0.0082,0.0562
PRED-HORT,0.0328,0.0449
PRED-HORT_CO,0.0,0.0337
PRED-OPT,0.0,0.0112
PRED-POTENT,0.0328,0.0449
PRED-POTENT_CO,0.0410,0.1349
PRED_AP,0.0,0.0112
PRED_CO,4.7888,6.1157
V-VOC,0.5904,0.6295
V-VOC_AP,0.0574,0.0786
V-VOC_CO,0.0410,0.0562
V-VOC_OBJ,0.0164,0.0
