Tag,Ovid,Juvenal 6
NOM-DS-POTENT_OBJ,0.1003,0.0
NOM-DS-POTENT_OBJ-CO,0.1389,0.0
NOM-FEARCL_OBJ-AP,0.0077,0.0
NOM-FEARCL_OBJ-CO,0.0154,0.0
NOM-INDQUES_AP,0.0077,0.0
NOM-INDQUES_CO,0.0231,0.0
NOM-INDQUES_OBJ,0.1544,0.2965
NOM-INDQUES_OBJ-AP,0.0,0.0296
NOM-INDQUES_OBJ-CO,0.1389,0.8007
NOM-INDQUES_PRED-CO,0.0154,0.0
NOM-INDQUES_SBJ,0.0154,0.0
NOM-INDSTAT,0.7644,0.7413
NOM-INDSTAT_CO,0.0077,0.0
NOM-INDSTAT_OBJ,0.4401,0.5338
NOM-INDSTAT_OBJ-AP,0.0077,0.0
NOM-INDSTAT_OBJ-CO,0.2857,0.1779
NOM-INDSTAT_SBJ,0.0386,0.0
NOM-INDSTAT_SUBJ-CO,0.0154,0.0
NOM-SUBST_AP,0.0077,0.0
NOM-SUBST_CO,0.0,0.0593
NOM-SUBST_OBJ,0.1081,0.0889
NOM-SUBST_OBJ-AP,0.0077,0.0296
NOM-SUBST_OBJ-CO,0.0694,0.0
NOM-SUBST_PRED,0.0077,0.0296
NOM-SUBST_SBJ,0.0772,0.1779
NOM-SUBST_SUBJ-AP,0.0077,0.0296
NOM-SUBST_SUBJ-CO,0.0463,0.2965
OBJ,0.0,0.1482
OBJ_CO,0.0,0.0296
PARENTH,0.4169,0.0593
PNOM,0.0,0.1482
PNOM_CO,0.0,0.1186
PRED,9.3513,15.272
PRED-DELIB,0.0077,0.0296
PRED-HORT,0.0308,0.5931
PRED-HORT_CO,0.0,0.4151
PRED-OPT,0.0,0.0593
PRED-POTENT,0.0694,0.3262
PRED-POTENT_CO,0.0386,0.1779
PRED_AP,0.0,0.0296
PRED_CO,4.5096,9.1637
SBJ,0.0,0.1779
SBJ_CO,0.0,0.0593
UNDEFINED,0.0,0.0296
V-VOC,0.6640,0.7710
V-VOC_AP,0.0540,0.2669
V-VOC_CO,0.0386,0.0593
V-VOC_OBJ,0.0154,0.0
